Id	Sent1	Sent2	STANFORD_IDENTITY	STANFORD_SOFT	STANFORD_HYBRID	UD_IDENTITY	UD_SOFT	UD_HYBRID	CONST_IDENTITY	STANFORD_EMBED	STANFORD_HYBRID_EMBED	UD_EMBED	UD_HYBRID_EMBED	BASE_VECTOR_STANFORD	BASE_JACC_WORD	BASE_JACC_POSTAG	BASE_JACC_RELATION_STANFORD	BASE_VECTOR_UD	BASE_JACC_RELATION_UD	Score	Label
1	A group of kids is playing in a yard and an old man is standing in the background	A group of boys in a yard is playing and a man is standing in the background	0.056715175657467656	0.1644069040670482	0.09030357869516162	0.030159206311455685	0.08440497472829689	0.04545556532603618	0.3273781893772182	0.05034540624179797	0.09030357869516162	0.03331557570109127	0.045238661599332715	0.9789473684210527	0.7647058963775635	0.7647058963775635	0.5555555820465088	0.9789473684210527	0.5555555820465088	4.5	NEUTRAL
2	A group of children is playing in the house and there is no man standing in the background	A group of kids is playing in a yard and an old man is standing in the background	0.0233184812932665	0.0507537731393821	0.02551063007737116	0.011499239081592113	0.03986245718794952	0.019351102102742067	0.3188395243503867	0.023245611430559823	0.02551063007737116	0.01949958528904932	0.025113896441293988	0.9368421052631579	0.550000011920929	0.4761904776096344	0.3636363744735718	0.9368421052631579	0.3636363744735718	3.2	NEUTRAL
3	The young boys are playing outdoors and the man is smiling nearby	The kids are playing outdoors near a man with a smile	0.009459655706709966	0.0805495266797104	0.03747818576694493	0.010463400513200197	0.057390159575666747	0.025349680721669543	0.1587172986388328	0.011346300478026896	0.03747818576694493	0.009342656766202342	0.04238374018492079	0.6444240777830837	0.29411765933036804	0.29411765933036804	0.1111111119389534	0.6444240777830837	0.1111111119389534	4.7	ENTAILMENT
5	The kids are playing outdoors near a man with a smile	A group of kids is playing in a yard and an old man is standing in the background	0.0	0.14370879877587145	0.019049524973306923	0.0	0.10892932428822612	0.017017320476828558	0.31408443726047625	0.0017689598092605996	0.019049524973306923	0.0	0.029813980561590535	0.89182332174557	0.1818181872367859	0.1818181872367859	0.043478261679410934	0.89182332174557	0.043478261679410934	3.4	NEUTRAL
9	The young boys are playing outdoors and the man is smiling nearby	A group of kids is playing in a yard and an old man is standing in the background	0.0	0.030774420179590898	0.006157305654100526	0.0	0.016522424992826978	0.002622154037287179	0.21517157113826837	0.007017130981537252	0.006157305654100526	0.0027675650913619636	0.006725198321952832	0.6763457762288136	0.21739129722118378	0.21739129722118378	0.1818181872367859	0.6763457762288136	0.1818181872367859	3.7	NEUTRAL
12	Two dogs are fighting	Two dogs are wrestling and hugging	0.0657996145189264	0.4613591919058619	0.26357940321239415	0.04719502009318968	0.43419418485734523	0.24069460247526744	1.0	0.1838374134476514	0.26357940321239415	0.16267833084445818	0.29843625785090167	0.8386278693775346	0.4285714328289032	0.4285714328289032	0.6000000238418579	0.8386278693775346	0.6000000238418579	4	NEUTRAL
14	A brown dog is attacking another animal in front of the man in pants	Two dogs are fighting	0.0	0.051205676027735444	0.00368109917557756	0.0	0.03269436900259937	0.0	0.1941534718256198	0.0	0.00368109917557756	0.0	0.0	0.18200630207731602	0.0	0.0	0.0	0.18200630207731602	0.0	3.5	NEUTRAL
18	A brown dog is attacking another animal in front of the man in pants	Two dogs are wrestling and hugging	0.0	0.02362420931314939	0.0016983089409697975	0.0	0.014195704898508885	0.0	0.1941534718256198	0.0	0.0016983089409697975	0.0	0.0	0.16694514082354445	0.0	0.0	0.0	0.16694514082354445	0.0	3.2	NEUTRAL
25	Nobody is riding the bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike	0.0	0.2011983675959858	0.0364154691748429	0.0	0.13363574331962827	0.02244505090116118	0.43541121745960026	0.007174296847214486	0.0364154691748429	0.011766191701605434	0.04195779768546431	0.8275891183029994	0.11764705926179886	0.11764705926179886	0.13333334028720856	0.8275891183029994	0.13333334028720856	2.8	NEUTRAL
26	A person is riding the bicycle on one wheel	A man in a black jacket is doing tricks on a motorbike	0.0	0.23485494657179817	0.04587161347366172	0.0	0.14987183542266624	0.02566019415350987	0.43541121745960026	0.005409068050774868	0.04587161347366172	0.01779108278841046	0.0519579198778933	0.8982953824709535	0.1764705926179886	0.1764705926179886	0.20000000298023224	0.8982953824709535	0.20000000298023224	3.7	NEUTRAL
28	A person on a black motorbike is doing tricks with a jacket	A person is riding the bicycle on one wheel	0.012459954609371087	0.2348549465717981	0.07646964820543255	0.005581930553240724	0.057179008148007	0.011903367310072502	0.43541121745960026	0.013671634058901745	0.07646964820543255	0.02113773209902818	0.017489456754174137	0.8982953824709535	0.25	0.25	0.2857142984867096	0.8982953824709535	0.2857142984867096	3.4	NEUTRAL
30	A man with a jersey is dunking the ball at a basketball game	The ball is being dunked by a man with a jersey at a basketball game	0.08337298607624928	0.18881559829257186	0.11209814246601242	0.0431668602284499	0.1492266692827742	0.06792967955270848	0.376858259817284	0.11423351933708258	0.11209814246601242	0.05189272617952468	0.08993797720175656	0.9562595016167079	0.5625	0.5625	0.4375	0.9562595016167079	0.4375	4.9	ENTAILMENT
35	A man with a jersey is dunking the ball at a basketball game	A man who is playing dunks the basketball into the net and a crowd is in background	0.002737279521736959	0.12750348016256877	0.01822999006373216	9.746620216605569E-4	0.11122393896211227	0.011459031488465388	0.3099619321542865	0.006886402285773286	0.01822999006373216	0.005434457354199959	0.022470325232358375	0.9408563800970627	0.2857142984867096	0.2857142984867096	0.2380952388048172	0.9268119508060212	0.2380952388048172	3.6	NEUTRAL
40	The player is dunking the basketball into the net and a crowd is in background	A man with a jersey is dunking the ball at a basketball game	0.004712191430618623	0.36834966539897035	0.0639230393291303	0.0016387223113394473	0.2906447126279114	0.03711283952202823	0.4100797977676799	0.025362828435194457	0.0639230393291303	0.017881515210111852	0.04753867915313028	0.9622504486493763	0.25	0.25	0.1428571492433548	0.9483719115939812	0.1428571492433548	3.8	NEUTRAL
42	Two people are kickboxing and spectators are not watching	Two people are kickboxing and spectators are watching	0.7436078325967426	0.7586570650504455	0.748382008186257	0.7427979206299786	0.7593915833544875	0.7477735564556988	1.0	0.3665305000204264	0.748382008186257	0.3972552110670319	0.7501655462387058	0.9622504486493763	0.875	0.875	0.8571428656578064	0.9622504486493763	0.8571428656578064	3.4	CONTRADICTION
44	Two young women are sparring in a kickboxing fight	Two women are sparring in a kickboxing match	0.3269756414243388	0.7991823421106743	0.5265777414467093	0.08145696082692554	0.8106738405775327	0.44606540070222916	1.0	0.4285323489131346	0.5265777414467093	0.3117006240396401	0.5605316251764424	0.9526610232449336	0.699999988079071	0.699999988079071	0.6666666865348816	0.9526610232449336	0.6666666865348816	4.9	ENTAILMENT
45	Two young women are not sparring in a kickboxing fight	Two women are sparring in a kickboxing match	0.24241931931415883	0.5925127588661527	0.3904040591263335	0.05990020243444066	0.5961372320540637	0.3280187172442522	1.0	0.04998541950633842	0.3904040591263335	0.04611143002466478	0.41219261654402906	0.9102991273635125	0.6363636255264282	0.6363636255264282	0.6000000238418579	0.9102991273635125	0.6000000238418579	3.9	NEUTRAL
47	Two people are kickboxing and spectators are watching	Two young women are not sparring in a kickboxing fight	0.0	0.11412151748724692	0.037193929295015395	0.0	0.08700465357865848	0.026853891968422743	0.38651820693964367	0.03445988621860808	0.037193929295015395	0.02907161696715804	0.0471878803940937	0.5838403593598094	0.2142857164144516	0.2142857164144516	0.1538461595773697	0.5838403593598094	0.1538461595773697	3.415	NEUTRAL
49	Two women are sparring in a kickboxing match	Two people are kickboxing and spectators are not watching	0.0	0.14612190914109222	0.046978342797896096	0.0	0.1108311947110765	0.03368457667492824	0.38651820693964367	0.012064757431913382	0.046978342797896096	0.020133399990029496	0.05938015639404267	0.6534640392130713	0.23076923191547394	0.23076923191547394	0.1666666716337204	0.6534640392130713	0.1666666716337204	3.7	NEUTRAL
55	Three boys are jumping in the leaves	Three kids are jumping in the leaves	0.4040020221135789	1.0	0.7020010110567895	0.46783625730994155	1.0	0.7109402598737242	1.0	0.7731229389451215	0.7020010110567895	0.7926591309454541	0.8889599642080744	1.0	0.75	0.75	0.7142857313156128	1.0	0.7142857313156128	4.4	ENTAILMENT
56	Three kids are sitting in the leaves	Three kids are jumping in the leaves	0.15442320253308503	1.0	0.5772116012665426	0.1670843776106934	1.0	0.5873525123481769	1.0	0.41998318520949124	0.5772116012665426	0.4251872468202621	0.7164002081962437	1.0	0.75	0.75	1.0	1.0	1.0	3.8	NEUTRAL
58	Children in red shirts are playing in the leaves	Three kids are sitting in the leaves	0.09727419893451277	0.5420654321886377	0.2691142112882018	0.11587717344190707	0.5890117147095663	0.2985055510501859	0.6499096459351893	0.2433199674213064	0.2691142112882018	0.26253760486175653	0.41668810599471123	0.8262364471909156	0.3636363744735718	0.3636363744735718	0.4444444477558136	0.8262364471909156	0.4444444477558136	3.5	NEUTRAL
62	Children in red shirts are playing in the leaves	Three kids are jumping in the leaves	0.09727419893451277	0.5420654321886377	0.2691142112882018	0.11587717344190707	0.5890117147095663	0.2985055510501859	0.6499096459351893	0.18683588890071606	0.2691142112882018	0.20298922760001442	0.3854999067630982	0.8262364471909156	0.3636363744735718	0.3636363744735718	0.4444444477558136	0.8262364471909156	0.4444444477558136	4	NEUTRAL
65	Two angels are making snow on the lying children	Two children are lying in the snow and are making snow angels	0.03896860965369055	0.15021652749844616	0.032930333766748955	0.02932483991811527	0.020279413642344677	0.006420311905712962	0.46364340013669864	0.001881080196428012	0.032930333766748955	0.0010099718487507309	0.009041044329230578	0.8736977528572243	0.7272727489471436	0.7272727489471436	0.20000000298023224	0.8736977528572243	0.20000000298023224	2.9	NEUTRAL
70	Two children are lying in the snow and are drawing angels	Two people in snowsuits are lying in the snow and making snow angels	0.09591552564433294	0.55602203023101	0.2806829085261256	0.12735303289035385	0.6031544088402002	0.321962739382475	0.3508627271788105	0.2300311755399633	0.2806829085261256	0.2583002705629554	0.4119242229183956	0.8990229253768994	0.6153846383094788	0.6153846383094788	0.5384615659713745	0.8990229253768994	0.5384615659713745	4.1	NEUTRAL
72	Two people in snowsuits are lying in the snow and making snow angels	Two angels are making snow on the lying children	0.007971204518144516	0.1520857051342891	0.033839711952532055	0.004074158435691289	0.10033362543054192	0.02768004812079156	0.2954071177017067	0.010465839410546685	0.033839711952532055	0.0022596822686826697	0.03906180807552998	0.886077629568296	0.5384615659713745	0.5384615659713745	0.1875	0.886077629568296	0.1875	2.5	NEUTRAL
